player_id,player_name_last_first,season,team_abbrev,pitch_hand,num_pitches,four_seam_speed,four_seam_spin,four_seam_pct,sinker_speed,sinker_spin,sinker_pct,cutter_speed,cutter_spin,cutter_pct,slider_speed,slider_spin,slider_pct,change_up_speed,change_up_spin,change_up_pct,curve_speed,curve_spin,curve_pct,splitter_speed,splitter_spin,splitter_pct,plate_appearances
643327,"Godley, Zack",2020,BOS,R,553,89.9,2151,0.061482821,89.4,2104,0.081374322,88.6,2184,0.374321881,NULL,NULL,0,83.1,1699,0.101265823,82,2138,0.381555154,NULL,NULL,0,143
643338,"Green, Chad",2020,NYY,R,425,95.5,2472,0.738823529,95,2521,0.011764706,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,84.5,2528,0.249411765,NULL,NULL,0,100
643478,"Palumbo, Joe",2020,TEX,L,59,92.2,2447,0.576271186,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,80.5,2684,0.423728814,NULL,NULL,0,14
643511,"Rogers, Tyler",2020,SF,R,458,82.4,1944,0.520787746,82.8,1974,0.118161926,NULL,NULL,0,71.4,2278,0.361050328,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,123
643532,"Sharp, Sterling",2020,MIA,R,111,87.2,1874,0.153153153,88.3,1937,0.675675676,NULL,NULL,0,NULL,NULL,0,80.6,1526,0.126126126,79.7,2361,0.045045045,NULL,NULL,0,29
643615,"Zeuch, T.J.",2020,TOR,R,185,91.4,2120,0.081081081,92.2,2127,0.481081081,86.7,2023,0.210810811,80.9,2040,0.156756757,83.3,1535,0.07027027,NULL,NULL,0,NULL,NULL,0,47
643778,"Webb, Tyler",2020,STL,L,346,90,2154,0.395953757,90.1,2172,0.202312139,NULL,NULL,0,NULL,NULL,0,78.6,1688,0.23699422,74.8,2255,0.164739884,NULL,NULL,0,87
645261,"Alcantara, Sandy",2020,MIA,R,662,96.8,2320,0.247734139,96.2,2373,0.348942598,NULL,NULL,0,87.3,2400,0.220543807,90.1,1983,0.102719033,82,2405,0.080060423,NULL,NULL,0,172
645307,"Sánchez, Ricardo",2020,STL,L,117,91.6,2194,0.478632479,91.8,2199,0.017094017,NULL,NULL,0,83.4,2560,0.153846154,85.3,1638,0.179487179,78.5,2607,0.170940171,NULL,NULL,0,27
647336,"Soroka, Mike",2020,ATL,R,199,92.7,2281,0.281407035,91.4,2038,0.311557789,NULL,NULL,0,81.3,2636,0.286432161,80.3,2149,0.120603015,NULL,NULL,0,NULL,NULL,0,57
650382,"Hernandez, Darwinzon",2020,BOS,L,176,94.2,2338,0.727272727,NULL,NULL,0,NULL,NULL,0,83.3,2569,0.244318182,NULL,NULL,0,80.1,2895,0.028409091,NULL,NULL,0,40
650530,"Garcia, Bryan",2020,DET,R,332,94.6,2172,0.042168675,94.4,2186,0.59939759,NULL,NULL,0,87.3,2439,0.219879518,86.7,1894,0.138554217,NULL,NULL,0,NULL,NULL,0,93
650556,"Abreu, Bryan",2020,HOU,R,76,92.8,2257,0.171052632,93,2306,0.171052632,NULL,NULL,0,85.3,2510,0.447368421,91.6,1846,0.013157895,82.8,2734,0.197368421,NULL,NULL,0,20
650633,"King, Michael",2020,NYY,R,470,93.7,2373,0.04893617,93,2257,0.606382979,NULL,NULL,0,NULL,NULL,0,84.5,1991,0.15106383,80.9,2351,0.193617021,NULL,NULL,0,121
650644,"Civale, Aaron",2020,CLE,R,1201,91.3,2343,0.025,91.8,2269,0.289166667,87.4,2499,0.2875,82.2,2709,0.095,85.3,2028,0.091666667,75.7,2840,0.211666667,NULL,NULL,0,312
650668,"Mejía, Humberto",2020,MIA,R,205,92.8,2231,0.52195122,NULL,NULL,0,NULL,NULL,0,84.1,2282,0.170731707,85.9,1781,0.097560976,78.6,2363,0.209756098,NULL,NULL,0,49
650671,"Quijada, José",2020,LAA,L,89,93.4,2297,0.685393258,NULL,NULL,0,NULL,NULL,0,80.7,2523,0.202247191,85.9,1603,0.112359551,NULL,NULL,0,NULL,NULL,0,20
650893,"Cabrera, Génesis",2020,STL,L,397,96.1,2282,0.503778338,96.9,2332,0.060453401,NULL,NULL,0,NULL,NULL,0,88.5,1819,0.130982368,81.3,2464,0.304785894,NULL,NULL,0,96
650895,"Castillo, Diego",2020,TB,R,320,96.1,1876,0.0125,96.1,1962,0.340625,NULL,NULL,0,86.2,2224,0.646875,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,89
656004,"Sanabria, Carlos",2020,HOU,R,49,92.6,2281,0.571428571,NULL,NULL,0,NULL,NULL,0,83.8,2402,0.387755102,87.3,1547,0.040816327,NULL,NULL,0,NULL,NULL,0,12
